Male,Female,,,,,,,
CSDS01110.csv,Video_0101_CLIP_shorten.csv,,,,,,,
CSDS01301.csv,Video_0102_CLIP_shorten.csv,,,,,,,
CSDS01301_2.csv,Video_0104_CLIP_shorten.csv,,,,,,,
CSDS01302.csv,Video_0106_CLIP_shorten.csv,,,,,,,
CSDS01303.csv,Video_0110_CLIP_shorten.csv,,,,,,,
CSDS01304.csv,Video_0111_CLIP_shorten.csv,,,,,,,
CSDS01305.csv,Video_0113_CLIP_shorten.csv,,,,,,,
CSDS01306.csv,Video_0116_CLIP_shorten.csv,,,,,,,
CSDS01307.csv,Video_0118_CLIP_shorten.csv,,,,,,,
CSDS01308.csv,Video_0120_CLIP_shorten.csv,,,,,,,
CSDS01309.csv,Video_0201_CLIP_shorten.csv,,,,,,,
CSDS01701.csv,Video_0202_CLIP_shorten.csv,,,,,,,
CSDS01701_2.csv,Video_0204_CLIP_shorten.csv,,,,,,,
CSDS01702.csv,Video_0206_CLIP_shorten.csv,,,,,,,
CSDS01703.csv,Video_0210_CLIP_shorten.csv,,,,,,,
CSDS01704.csv,Video_0211_CLIP_shorten.csv,,,,,,,
CSDS01705.csv,Video_0213_CLIP_shorten.csv,,,,,,,
CSDS01706.csv,Video_0216_CLIP_shorten.csv,,,,,,,
CSDS01707.csv,Video_0218_CLIP_shorten.csv,,,,,,,
CSDS01708.csv,Video_0220_CLIP_shorten.csv,,,,,,,
CSDS01709.csv,Video_0301_CLIP_shorten.csv,,,,,,,
CSDS01710.csv,Video_0302_CLIP_shorten.csv,,,,,,,
CSDS01711.csv,Video_0304_CLIP_shorten.csv,,,,,,,
CSDS01712.csv,Video_0306_CLIP_shorten.csv,,,,,,,
CSDS01801.csv,Video_0310_CLIP_shorten.csv,,,,,,,
CSDS01802.csv,Video_0311_CLIP_shorten.csv,,,,,,,
CSDS01803.csv,Video_0313_CLIP_shorten.csv,,,,,,,
CSDS01804.csv,Video_0316_CLIP_shorten.csv,,,,,,,
CSDS01805.csv,Video_0318_CLIP_shorten.csv,,,,,,,
CSDS01806.csv,Video_0320_CLIP_shorten.csv,,,,,,,
CSDS01807.csv,Video_0401_CLIP_shorten.csv,,,,,,,
CSDS01808.csv,Video_0402_CLIP_shorten.csv,,,,,,,
CSDS01809.csv,Video_0404_CLIP_shorten.csv,,,,,,,
CSDS01810.csv,Video_0406_CLIP_shorten.csv,,,,,,,
CSDS01811.csv,Video_0410_CLIP_shorten.csv,,,,,,,
CSDS01812.csv,Video_0411_CLIP_shorten.csv,,,,,,,
CSDS02110.csv,Video_0413_CLIP_shorten.csv,,,,,,,
CSDS02301.csv,Video_0416_CLIP_shorten.csv,,,,,,,
CSDS02302.csv,Video_0418_CLIP_shorten.csv,,,,,,,
CSDS02303.csv,Video_0420_CLIP_shorten.csv,,,,,,,
CSDS02304.csv,Video_0501_CLIP_shorten.csv,,,,,,,
CSDS02305.csv,Video_0502_CLIP_shorten.csv,,,,,,,
CSDS02306.csv,Video_0504_CLIP_shorten.csv,,,,,,,
CSDS02307.csv,Video_0506_CLIP_shorten.csv,,,,,,,
CSDS02308.csv,Video_0510_CLIP_shorten.csv,,,,,,,
CSDS02309.csv,Video_0511_CLIP_shorten.csv,,,,,,,
CSDS02701.csv,Video_0513_CLIP_shorten.csv,,,,,,,
CSDS02702.csv,Video_0516_CLIP_shorten.csv,,,,,,,
CSDS02703.csv,Video_0518_CLIP_shorten.csv,,,,,,,
CSDS02704.csv,Video_0520_CLIP_shorten.csv,,,,,,,
CSDS02705.csv,Video_0601_CLIP_shorten.csv,,,,,,,
CSDS02706.csv,Video_0602_CLIP_shorten.csv,,,,,,,
CSDS02707.csv,Video_0604_CLIP_shorten.csv,,,,,,,
CSDS02708.csv,Video_0606_CLIP_shorten.csv,,,,,,,
CSDS02709.csv,Video_0610_CLIP_shorten.csv,,,,,,,
CSDS02710.csv,Video_0611_CLIP_shorten.csv,,,,,,,
CSDS02711.csv,Video_0613_CLIP_shorten.csv,,,,,,,
CSDS02712.csv,Video_0616_CLIP_shorten.csv,,,,,,,
CSDS02801.csv,Video_0618_CLIP_shorten.csv,,,,,,,
CSDS02802.csv,Video_0620_CLIP_shorten.csv,,,,,,,
CSDS02803.csv,Video_0701_CLIP_shorten.csv,,,,,,,
CSDS02804.csv,Video_0702_CLIP_shorten.csv,,,,,,,
CSDS02805.csv,Video_0704_CLIP_shorten.csv,,,,,,,
CSDS02806.csv,Video_0706_CLIP_shorten.csv,,,,,,,
CSDS02807.csv,Video_0710_CLIP_shorten.csv,,,,,,,
CSDS02808.csv,Video_0711_CLIP_shorten.csv,,,,,,,
CSDS02809.csv,Video_0713_CLIP_shorten.csv,,,,,,,
CSDS02810.csv,Video_0716_CLIP_shorten.csv,,,,,,,
CSDS02811.csv,Video_0718_CLIP_shorten.csv,,,,,,,
CSDS02812.csv,Video_0720_CLIP_shorten.csv,,,,,,,
CSDS03110.csv,Video_0801_CLIP_shorten.csv,,,,,,,
CSDS03301.csv,Video_0802_CLIP_shorten.csv,,,,,,,
CSDS03302.csv,Video_0804_CLIP_shorten.csv,,,,,,,
CSDS03303.csv,Video_0806_CLIP_shorten.csv,,,,,,,
CSDS03304.csv,Video_0810_CLIP_shorten.csv,,,,,,,
CSDS03305.csv,Video_0811_CLIP_shorten.csv,,,,,,,
CSDS03306.csv,Video_0813_CLIP_shorten.csv,,,,,,,
CSDS03307.csv,Video_0816_CLIP_shorten.csv,,,,,,,
CSDS03308.csv,Video_0818_CLIP_shorten.csv,,,,,,,
CSDS03309.csv,Video_0820_CLIP_shorten.csv,,,,,,,
CSDS03701.csv,Video_0901_CLIP_shorten.csv,,,,,,,
CSDS03702.csv,Video_0902_CLIP_shorten.csv,,,,,,,
CSDS03703.csv,Video_0904_CLIP_shorten.csv,,,,,,,
CSDS03704.csv,Video_0906_CLIP_shorten.csv,,,,,,,
CSDS03705.csv,Video_0910_CLIP_shorten.csv,,,,,,,
CSDS03706.csv,Video_0911_CLIP_shorten.csv,,,,,,,
CSDS03707.csv,Video_0913_CLIP_shorten.csv,,,,,,,
CSDS03708.csv,Video_0916_CLIP_shorten.csv,,,,,,,
CSDS03709.csv,Video_0918_CLIP_shorten.csv,,,,,,,
CSDS03710.csv,Video_0920_CLIP_shorten.csv,,,,,,,
CSDS03711.csv,Video_1001_CLIP_shorten.csv,,,,,,,
CSDS03712.csv,Video_1002_CLIP_shorten.csv,,,,,,,
CSDS03801.csv,Video_1004_CLIP_shorten.csv,,,,,,,
CSDS03802.csv,Video_1006_CLIP_shorten.csv,,,,,,,
CSDS03803.csv,Video_1010_CLIP_shorten.csv,,,,,,,
CSDS03804.csv,Video_1011_CLIP_shorten.csv,,,,,,,
CSDS03805.csv,Video_1013_CLIP_shorten.csv,,,,,,,
CSDS03806.csv,Video_1016_CLIP_shorten.csv,,,,,,,
CSDS03807.csv,Video_1018_CLIP_shorten.csv,,,,,,,
CSDS03808.csv,Video_1020_CLIP_shorten.csv,,,,,,,
CSDS03809.csv,,,,,,,,
CSDS03810.csv,,,,,,,,
CSDS03811.csv,,,,,,,,
CSDS03812.csv,,,,,,,,
CSDS04110.csv,,,,,,,,
CSDS04301.csv,,,,,,,,
CSDS04302.csv,,,,,,,,
CSDS04303.csv,,,,,,,,
CSDS04304.csv,,,,,,,,
CSDS04305.csv,,,,,,,,
CSDS04306.csv,,,,,,,,
CSDS04307.csv,,,,,,,,
CSDS04308.csv,,,,,,,,
CSDS04701.csv,,,,,,,,
CSDS04702.csv,,,,,,,,
CSDS04703.csv,,,,,,,,
CSDS04704.csv,,,,,,,,
CSDS04705.csv,,,,,,,,
CSDS04706.csv,,,,,,,,
CSDS04707.csv,,,,,,,,
CSDS04708.csv,,,,,,,,
CSDS04709.csv,,,,,,,,
CSDS04710.csv,,,,,,,,
CSDS04711.csv,,,,,,,,
CSDS04712.csv,,,,,,,,
CSDS04801.csv,,,,,,,,
CSDS04802.csv,,,,,,,,
CSDS04803.csv,,,,,,,,
CSDS04804.csv,,,,,,,,
CSDS04805.csv,,,,,,,,
CSDS04806.csv,,,,,,,,
CSDS04807.csv,,,,,,,,
CSDS04808.csv,,,,,,,,
CSDS04809.csv,,,,,,,,
CSDS04810.csv,,,,,,,,
CSDS04811.csv,,,,,,,,
CSDS04812.csv,,,,,,,,
CSDS05110.csv,,,,,,,,
CSDS05301.csv,,,,,,,,
CSDS05302.csv,,,,,,,,
CSDS05303.csv,,,,,,,,
CSDS05304.csv,,,,,,,,
CSDS05305.csv,,,,,,,,
CSDS05306.csv,,,,,,,,
CSDS05307.csv,,,,,,,,
CSDS05308.csv,,,,,,,,
CSDS05701.csv,,,,,,,,
CSDS05702.csv,,,,,,,,
CSDS05703.csv,,,,,,,,
CSDS05704.csv,,,,,,,,
CSDS05705.csv,,,,,,,,
CSDS05706.csv,,,,,,,,
CSDS05707.csv,,,,,,,,
CSDS05707_use_2.csv,,,,,,,,
CSDS05708.csv,,,,,,,,
CSDS05709.csv,,,,,,,,
CSDS05710.csv,,,,,,,,
CSDS05711.csv,,,,,,,,
CSDS05712.csv,,,,,,,,
CSDS05801.csv,,,,,,,,
CSDS05802.csv,,,,,,,,
CSDS05803.csv,,,,,,,,
CSDS05804.csv,,,,,,,,
CSDS05805.csv,,,,,,,,
CSDS05806.csv,,,,,,,,
CSDS05807.csv,,,,,,,,
CSDS05808.csv,,,,,,,,
CSDS05809.csv,,,,,,,,
CSDS05810.csv,,,,,,,,
CSDS05811.csv,,,,,,,,
CSDS05812.csv,,,,,,,,
CSDS06110.csv,,,,,,,,
CSDS06301.csv,,,,,,,,
CSDS06302.csv,,,,,,,,
CSDS06303.csv,,,,,,,,
CSDS06304.csv,,,,,,,,
CSDS06306.csv,,,,,,,,
CSDS06307.csv,,,,,,,,
CSDS06308.csv,,,,,,,,
CSDS06701.csv,,,,,,,,
CSDS06702.csv,,,,,,,,
CSDS06703.csv,,,,,,,,
CSDS06704.csv,,,,,,,,
CSDS06705.csv,,,,,,,,
CSDS06706.csv,,,,,,,,
CSDS06707.csv,,,,,,,,
CSDS06708.csv,,,,,,,,
CSDS06709.csv,,,,,,,,
CSDS06710.csv,,,,,,,,
CSDS06711.csv,,,,,,,,
CSDS06712.csv,,,,,,,,
CSDS06801.csv,,,,,,,,
CSDS06802.csv,,,,,,,,
CSDS06803.csv,,,,,,,,
CSDS06804.csv,,,,,,,,
CSDS06805.csv,,,,,,,,
CSDS06806.csv,,,,,,,,
CSDS06807.csv,,,,,,,,
CSDS06808.csv,,,,,,,,
CSDS06809.csv,,,,,,,,
CSDS06810.csv,,,,,,,,
CSDS06811.csv,,,,,,,,
CSDS06812.csv,,,,,,,,
CSDS07110.csv,,,,,,,,
CSDS07301.csv,,,,,,,,
CSDS07302.csv,,,,,,,,
CSDS07303.csv,,,,,,,,
CSDS07304.csv,,,,,,,,
CSDS07305.csv,,,,,,,,
CSDS07306.csv,,,,,,,,
CSDS07307.csv,,,,,,,,
CSDS07308.csv,,,,,,,,
CSDS07309.csv,,,,,,,,
CSDS07701.csv,,,,,,,,
CSDS07702.csv,,,,,,,,
CSDS07703.csv,,,,,,,,
CSDS07704.csv,,,,,,,,
CSDS07705.csv,,,,,,,,
CSDS07706.csv,,,,,,,,
CSDS07707.csv,,,,,,,,
CSDS07708.csv,,,,,,,,
CSDS07709.csv,,,,,,,,
CSDS07710.csv,,,,,,,,
CSDS07711.csv,,,,,,,,
CSDS07712.csv,,,,,,,,
CSDS07801.csv,,,,,,,,
CSDS07802.csv,,,,,,,,
CSDS07803.csv,,,,,,,,
CSDS07804.csv,,,,,,,,
CSDS07805.csv,,,,,,,,
CSDS07806.csv,,,,,,,,
CSDS07807.csv,,,,,,,,
CSDS07808.csv,,,,,,,,
CSDS07809.csv,,,,,,,,
CSDS07810.csv,,,,,,,,
CSDS07811.csv,,,,,,,,
CSDS07812.csv,,,,,,,,
CSDS08110.csv,,,,,,,,
CSDS08301.csv,,,,,,,,
CSDS08302.csv,,,,,,,,
CSDS08303.csv,,,,,,,,
CSDS08304.csv,,,,,,,,
CSDS08305.csv,,,,,,,,
CSDS08306.csv,,,,,,,,
CSDS08307.csv,,,,,,,,
CSDS08308.csv,,,,,,,,
CSDS08701.csv,,,,,,,,
CSDS08702.csv,,,,,,,,
CSDS08703.csv,,,,,,,,
CSDS08704.csv,,,,,,,,
CSDS08705.csv,,,,,,,,
CSDS08706.csv,,,,,,,,
CSDS08707.csv,,,,,,,,
CSDS08708.csv,,,,,,,,
CSDS08709.csv,,,,,,,,
CSDS08710.csv,,,,,,,,
CSDS08711.csv,,,,,,,,
CSDS08712.csv,,,,,,,,
CSDS08801.csv,,,,,,,,
CSDS08802.csv,,,,,,,,
CSDS08803.csv,,,,,,,,
CSDS08804.csv,,,,,,,,
CSDS08805.csv,,,,,,,,
CSDS08806.csv,,,,,,,,
CSDS08807.csv,,,,,,,,
CSDS08808.csv,,,,,,,,
CSDS08809.csv,,,,,,,,
CSDS08810.csv,,,,,,,,
CSDS08811.csv,,,,,,,,
CSDS08812.csv,,,,,,,,
CSDS09110.csv,,,,,,,,
CSDS09301.csv,,,,,,,,
CSDS09302.csv,,,,,,,,
CSDS09303.csv,,,,,,,,
CSDS09304.csv,,,,,,,,
CSDS09305.csv,,,,,,,,
CSDS09306.csv,,,,,,,,
CSDS09307.csv,,,,,,,,
CSDS09308.csv,,,,,,,,
CSDS09701.csv,,,,,,,,
CSDS09702.csv,,,,,,,,
CSDS09703.csv,,,,,,,,
CSDS09704.csv,,,,,,,,
CSDS09705.csv,,,,,,,,
CSDS09706.csv,,,,,,,,
CSDS09707.csv,,,,,,,,
CSDS09708.csv,,,,,,,,
CSDS09709.csv,,,,,,,,
CSDS09710.csv,,,,,,,,
CSDS09711.csv,,,,,,,,
CSDS09712.csv,,,,,,,,
CSDS09801.csv,,,,,,,,
CSDS09802.csv,,,,,,,,
CSDS09803.csv,,,,,,,,
CSDS09804.csv,,,,,,,,
CSDS09805.csv,,,,,,,,
CSDS09806.csv,,,,,,,,
CSDS09807.csv,,,,,,,,
CSDS09808.csv,,,,,,,,
CSDS09809.csv,,,,,,,,
CSDS09810.csv,,,,,,,,
CSDS09811.csv,,,,,,,,
CSDS09812.csv,,,,,,,,
CSDS10110.csv,,,,,,,,
CSDS10301.csv,,,,,,,,
CSDS10302.csv,,,,,,,,
CSDS10303.csv,,,,,,,,
CSDS10304.csv,,,,,,,,
CSDS10305.csv,,,,,,,,
CSDS10306.csv,,,,,,,,
CSDS10307.csv,,,,,,,,
CSDS10308.csv,,,,,,,,
CSDS10701.csv,,,,,,,,
CSDS10702.csv,,,,,,,,
CSDS10703.csv,,,,,,,,
CSDS10704.csv,,,,,,,,
CSDS10705.csv,,,,,,,,
CSDS10706.csv,,,,,,,,
CSDS10707.csv,,,,,,,,
CSDS10708.csv,,,,,,,,
CSDS10709.csv,,,,,,,,
CSDS10710.csv,,,,,,,,
CSDS10711.csv,,,,,,,,
CSDS10712.csv,,,,,,,,
CSDS10801.csv,,,,,,,,
CSDS10802.csv,,,,,,,,
CSDS10803.csv,,,,,,,,
CSDS10804.csv,,,,,,,,
CSDS10805.csv,,,,,,,,
CSDS10806.csv,,,,,,,,
CSDS10807.csv,,,,,,,,
CSDS10808.csv,,,,,,,,
CSDS10809.csv,,,,,,,,
CSDS10810.csv,,,,,,,,
CSDS10811.csv,,,,,,,,
CSDS10812.csv,,,,,,,,
