,2 animals 16 body-parts,2 animals 14 body-parts,2 animals 8 body-parts,1 animal 9 body-parts,1 animal 8 body-parts,1 animal 7 body-parts,1 animal 4 body-parts
0,Ear_left_1_x,Ear_left_1_x,Ear_left_1_x,Mouse1_left_ear_x,Ear_left_x,Ear_left_x,Ear_left_x
1,Ear_left_1_y,Ear_left_1_y,Ear_left_1_y,Mouse1_left_ear_y,Ear_left_y,Ear_left_y,Ear_left_y
2,Ear_left_1_p,Ear_left_1_p,Ear_left_1_p,Mouse1_left_ear_p,Ear_left_p,Ear_left_p,Ear_left_p
3,Ear_right_1_x,Ear_right_1_x,Ear_right_1_x,Mouse1_right_ear_x,Ear_right_x,Ear_right_x,Ear_right_x
4,Ear_right_1_y,Ear_right_1_y,Ear_right_1_y,Mouse1_right_ear_y,Ear_right_y,Ear_right_y,Ear_right_y
5,Ear_right_1_p,Ear_right_1_p,Ear_right_1_p,Mouse1_right_ear_p,Ear_right_p,Ear_right_p,Ear_right_p
6,Nose_1_x,Nose_1_x,Nose_1_x,Mouse1_left_hand_x,Nose_x,Nose_x,Nose_x
7,Nose_1_y,Nose_1_y,Nose_1_y,Mouse1_left_hand_y,Nose_y,Nose_y,Nose_y
8,Nose_1_p,Nose_1_p,Nose_1_p,Mouse1_left_hand_p,Nose_p,Nose_p,Nose_p
9,Center_1_x,Center_1_x,Tail_base_1_x,Mouse1_right_hand_x,Center_x,Center_x,Tail_base_x
10,Center_1_y,Center_1_y,Tail_base_1_y,Mouse1_right_hand_y,Center_y,Center_y,Tail_base_y
11,Center_1_p,Center_1_p,Tail_base_1_p,Mouse1_right_hand_p,Center_p,Center_p,Tail_base_p
12,Lat_left_1_x,Lat_left_1_x,Ear_left_2_x,Mouse1_left_foot_x,Lat_left_x,Lat_left_x,
13,Lat_left_1_y,Lat_left_1_y,Ear_left_2_y,Mouse1_left_foot_y,Lat_left_y,Lat_left_y,
14,Lat_left_1_p,Lat_left_1_p,Ear_left_2_p,Mouse1_left_foot_p,Lat_left_p,Lat_left_p,
15,Lat_right_1_x,Lat_right_1_x,Ear_right_2_x,Mouse1_right_foot_x,Lat_right_x,Lat_right_x,
16,Lat_right_1_y,Lat_right_1_y,Ear_right_2_y,Mouse1_right_foot_y,Lat_right_y,Lat_right_y,
17,Lat_right_1_p,Lat_right_1_p,Ear_right_2_p,Mouse1_right_foot_p,Lat_right_p,Lat_right_p,
18,Tail_base_1_x,Tail_base_1_x,Nose_2_x,Mouse1_nose_x,Tail_base_x,Tail_base_x,
19,Tail_base_1_y,Tail_base_1_y,Nose_2_y,Mouse1_nose_y,Tail_base_y,Tail_base_y,
20,Tail_base_1_p,Tail_base_1_p,Nose_2_p,Mouse1_nose_p,Tail_base_p,Tail_base_p,
21,Tail_end_1_x,Ear_left_2_x,Tail_base_2_x,Mouse1_tail_x,Tail_end_x,,
22,Tail_end_1_y,Ear_left_2_y,Tail_base_2_y,Mouse1_tail_y,Tail_end_y,,
23,Tail_end_1_p,Ear_left_2_p,Tail_base_2_p,Mouse1_tail_p,Tail_end_p,,
24,Ear_left_2_x,Ear_right_2_x,,Mouse1_back_x,,,
25,Ear_left_2_y,Ear_right_2_y,,Mouse1_back_y,,,
26,Ear_left_2_p,Ear_right_2_p,,Mouse1_back_p,,,
27,Ear_right_2_x,Nose_2_x,,,,,
28,Ear_right_2_y,Nose_2_y,,,,,
29,Ear_right_2_p,Nose_2_p,,,,,
30,Nose_2_x,Center_2_x,,,,,
31,Nose_2_y,Center_2_y,,,,,
32,Nose_2_p,Center_2_p,,,,,
33,Center_2_x,Lat_left_2_x,,,,,
34,Center_2_y,Lat_left_2_y,,,,,
35,Center_2_p,Lat_left_2_p,,,,,
36,Lat_left_2_x,Lat_right_2_x,,,,,
37,Lat_left_2_y,Lat_right_2_y,,,,,
38,Lat_left_2_p,Lat_right_2_p,,,,,
39,Lat_right_2_x,Tail_base_2_x,,,,,
40,Lat_right_2_y,Tail_base_2_y,,,,,
41,Lat_right_2_p,Tail_base_2_p,,,,,
42,Tail_base_2_x,,,,,,
43,Tail_base_2_y,,,,,,
44,Tail_base_2_p,,,,,,
45,Tail_end_2_x,,,,,,
46,Tail_end_2_y,,,,,,
47,Tail_end_2_p,,,,,,