Animal shape - CD1,Animal shape - CD1,Animal shape - CD1,Animal shape - CD1,Animal shape - CD1,Animal shape - CD1,Animal shape - C57,Animal shape - C57,Animal shape - C57,Animal shape - C57,Animal shape - C57,Animal shape - C57,Animal shape - C57 and CD1,Animal shape - C57 and CD1,Animal shape - C57 and CD1,Animal shape - C57 and CD1,Animal shape - C57 and CD1,Animal shape - C57 and CD1,Animal movement - CD1,Animal movement - CD1,Animal movement - CD1,Animal movement - CD1,Animal movement - CD1,Animal movement - CD1,Animal movement - C57,Animal movement - C57,Animal movement - C57,Animal movement - C57,Animal movement - C57,Animal movement - C57,Animal movement - C57 and CD1,Animal movement - C57 and CD1,Animal movement - C57 and CD1,Animal movement - C57 and CD1,Animal movement - C57 and CD1,Animal movement - C57 and CD1,Animal distances,Animal distances,Animal distances,Animal distances,Animal distances,Animal distances
Within_current_frame,500ms,200ms,166ms,133ms,66ms,Within_current_frame,500ms,200ms,166ms,133ms,66ms,Within_current_frame,500ms,200ms,166ms,133ms,66ms,Within_current_frame,500ms,200ms,166ms,133ms,66ms,Within_current_frame,500ms,200ms,166ms,133ms,66ms,Within_current_frame,500ms,200ms,166ms,133ms,66ms,Within_current_frame,500ms,200ms,166ms,133ms,66ms
Mouse_1_poly_area,Mouse1_width_median_2,Mouse1_width_median_5,Mouse1_width_median_6,Mouse1_width_median_7.5,Mouse1_width_median_15,M2_largest_euclidean_distance_hull,Mouse2_width_median_2,Mouse2_width_median_5,Mouse2_width_median_6,Mouse2_width_median_7.5,Mouse2_width_median_15,Sum_euclidean_distance_hull_M1_M2,Sum_euclid_distances_hull_median_2,Sum_euclid_distances_hull_median_5,Sum_euclid_distances_hull_median_6,Sum_euclid_distances_hull_median_7.5,Sum_euclid_distances_hull_median_15,Movement_mouse_1_centroid,Tail_base_movement_M1_median_2,Tail_base_movement_M1_median_5,Tail_base_movement_M1_median_6,Tail_base_movement_M1_median_7.5,Tail_base_movement_M1_median_15,Movement_mouse_2_centroid,Tail_base_movement_M2_median_2,Tail_base_movement_M2_median_5,Tail_base_movement_M2_median_6,Tail_base_movement_M2_median_7.5,Tail_base_movement_M2_median_15,Total_movement_centroids,Movement_median_2,Movement_median_5,Movement_median_6,Movement_median_7.5,Movement_median_15,Centroid_distance,Distance_median_2,Distance_median_5,Distance_median_6,Distance_median_7.5,Distance_median_15
Mouse_1_nose_to_tail,Mouse1_width_mean_2,Mouse1_width_mean_5,Mouse1_width_mean_6,Mouse1_width_mean_7.5,Mouse1_width_mean_15,M2_smallest_euclidean_distance_hull,Mouse2_width_mean_2,Mouse2_width_mean_5,Mouse2_width_mean_6,Mouse2_width_mean_7.5,Mouse2_width_mean_15,Total_angle_both_mice,Sum_euclid_distances_hull_mean_2,Sum_euclid_distances_hull_mean_5,Sum_euclid_distances_hull_mean_6,Sum_euclid_distances_hull_mean_7.5,Sum_euclid_distances_hull_mean_15,Movement_mouse_1_nose,Tail_base_movement_M1_mean_2,Tail_base_movement_M1_mean_5,Tail_base_movement_M1_mean_6,Tail_base_movement_M1_mean_7.5,Tail_base_movement_M1_mean_15,Movement_mouse_2_nose,Tail_base_movement_M2_mean_2,Tail_base_movement_M2_mean_5,Tail_base_movement_M2_mean_6,Tail_base_movement_M2_mean_7.5,Tail_base_movement_M2_mean_15,Total_movement_tail_ends,Movement_mean_2,Movement_mean_5,Movement_mean_6,Movement_mean_7.5,Movement_mean_15,Nose_to_nose_distance,Distance_mean_2,Distance_mean_5,Distance_mean_6,Distance_mean_7.5,Distance_mean_15
Mouse_1_width,Mouse1_width_sum_2,Mouse1_width_sum_5,Mouse1_width_sum_6,Mouse1_width_sum_7.5,Mouse1_width_sum_15,M2_mean_euclidean_distance_hull,Mouse2_width_sum_2,Mouse2_width_sum_5,Mouse2_width_sum_6,Mouse2_width_sum_7.5,Mouse2_width_sum_15,Sum_euclid_distances_hull_deviation,Sum_euclid_distances_hull_sum_2,Sum_euclid_distances_hull_sum_5,Sum_euclid_distances_hull_sum_6,Sum_euclid_distances_hull_sum_7.5,Sum_euclid_distances_hull_sum_15,Movement_mouse_1_tail_base,Tail_base_movement_M1_sum_2,Tail_base_movement_M1_sum_5,Tail_base_movement_M1_sum_6,Tail_base_movement_M1_sum_7.5,Tail_base_movement_M1_sum_15,Movement_mouse_2_tail_base,Tail_base_movement_M2_sum_2,Tail_base_movement_M2_sum_5,Tail_base_movement_M2_sum_6,Tail_base_movement_M2_sum_7.5,Tail_base_movement_M2_sum_15,Total_movement_all_bodyparts_both_mice,Movement_sum_2,Movement_sum_5,Movement_sum_6,Movement_sum_7.5,Movement_sum_15,M1_Nose_to_M2_lat_left,Distance_sum_2,Distance_sum_5,Distance_sum_6,Distance_sum_7.5,Distance_sum_15
Mouse_1_Ear_distance,Mouse1_mean_euclid_distances_median_2,Mouse1_mean_euclid_distances_median_5,Mouse1_mean_euclid_distances_median_6,Mouse1_mean_euclid_distances_median_7.5,Mouse1_mean_euclid_distances_median_15,M2_sum_euclidean_distance_hull,Mouse2_mean_euclid_distances_median_2,Mouse2_mean_euclid_distances_median_5,Mouse2_mean_euclid_distances_median_6,Mouse2_mean_euclid_distances_median_7.5,Mouse2_mean_euclid_distances_median_15,Total_angle_both_mice_deviation,Total_angle_both_mice_2,Total_angle_both_mice_5,Total_angle_both_mice_6,Total_angle_both_mice_7.5,Total_angle_both_mice_15,Movement_mouse_1_tail_end,Centroid_movement_M1_median_2,Centroid_movement_M1_median_5,Centroid_movement_M1_median_6,Centroid_movement_M1_median_7.5,Centroid_movement_M1_median_15,Movement_mouse_2_tail_end,Centroid_movement_M2_median_2,Centroid_movement_M2_median_5,Centroid_movement_M2_median_6,Centroid_movement_M2_median_7.5,Centroid_movement_M2_median_15,Tail_end_relative_to_tail_base_centroid_nose,Total_movement_all_bodyparts_both_mice_median_2,Total_movement_all_bodyparts_both_mice_median_5,Total_movement_all_bodyparts_both_mice_median_6,Total_movement_all_bodyparts_both_mice_median_7.5,Total_movement_all_bodyparts_both_mice_median_15,M1_Nose_to_M2_lat_right,Distance_mean_2_deviation,Distance_mean_5_deviation,Distance_mean_6_deviation,Distance_mean_7.5_deviation,Distance_mean_15_deviation
Mouse_1_Nose_to_centroid,Mouse1_mean_euclid_distances_mean_2,Mouse1_mean_euclid_distances_mean_5,Mouse1_mean_euclid_distances_mean_6,Mouse1_mean_euclid_distances_mean_7.5,Mouse1_mean_euclid_distances_mean_15,Mouse_2_polygon_size_change,Mouse2_mean_euclid_distances_mean_2,Mouse2_mean_euclid_distances_mean_5,Mouse2_mean_euclid_distances_mean_6,Mouse2_mean_euclid_distances_mean_7.5,Mouse2_mean_euclid_distances_mean_15,,Sum_euclid_distances_hull_mean_2_deviation,Sum_euclid_distances_hull_mean_5_deviation,Sum_euclid_distances_hull_mean_6_deviation,Sum_euclid_distances_hull_mean_7.5_deviation,Sum_euclid_distances_hull_mean_15_deviation,Movement_mouse_1_left_ear,Centroid_movement_M1_mean_2,Centroid_movement_M1_mean_5,Centroid_movement_M1_mean_6,Centroid_movement_M1_mean_7.5,Centroid_movement_M1_mean_15,Movement_mouse_2_left_ear,Centroid_movement_M2_mean_2,Centroid_movement_M2_mean_5,Centroid_movement_M2_mean_6,Centroid_movement_M2_mean_7.5,Centroid_movement_M2_mean_15,Total_movement_all_bodyparts_both_mice_deviation,Total_movement_all_bodyparts_both_mice_mean_2,Total_movement_all_bodyparts_both_mice_mean_5,Total_movement_all_bodyparts_both_mice_mean_6,Total_movement_all_bodyparts_both_mice_mean_7.5,Total_movement_all_bodyparts_both_mice_mean_15,M2_Nose_to_M1_lat_left,Distance_mean_2_percentile_rank,Distance_mean_5_percentile_rank,Distance_mean_6_percentile_rank,Distance_mean_7.5_percentile_rank,Distance_mean_15_percentile_rank
Mouse_1_polygon_size_change,Mouse1_mean_euclid_distances_sum_2,Mouse1_mean_euclid_distances_sum_5,Mouse1_mean_euclid_distances_sum_6,Mouse1_mean_euclid_distances_sum_7.5,Mouse1_mean_euclid_distances_sum_15,Mouse_2_Nose_to_centroid,Mouse2_mean_euclid_distances_sum_2,Mouse2_mean_euclid_distances_sum_5,Mouse2_mean_euclid_distances_sum_6,Mouse2_mean_euclid_distances_sum_7.5,Mouse2_mean_euclid_distances_sum_15,,Total_angle_both_mice_2_deviation,Total_angle_both_mice_5_deviation,Total_angle_both_mice_6_deviation,Total_angle_both_mice_7.5_deviation,Total_angle_both_mice_15_deviation,Movement_mouse_1_right_ear,Centroid_movement_M1_sum_2,Centroid_movement_M1_sum_5,Centroid_movement_M1_sum_6,Centroid_movement_M1_sum_7.5,Centroid_movement_M1_sum_15,Movement_mouse_2_right_ear,Centroid_movement_M2_sum_2,Centroid_movement_M2_sum_5,Centroid_movement_M2_sum_6,Centroid_movement_M2_sum_7.5,Centroid_movement_M2_sum_15,Movement_percentile_rank,Total_movement_all_bodyparts_both_mice_sum_2,Total_movement_all_bodyparts_both_mice_sum_5,Total_movement_all_bodyparts_both_mice_sum_6,Total_movement_all_bodyparts_both_mice_sum_7.5,Total_movement_all_bodyparts_both_mice_sum_15,M2_Nose_to_M1_lat_right,,,,,
M1_largest_euclidean_distance_hull,Mouse1_smallest_euclid_distances_median_2,Mouse1_smallest_euclid_distances_median_5,Mouse1_smallest_euclid_distances_median_6,Mouse1_smallest_euclid_distances_median_7.5,Mouse1_smallest_euclid_distances_median_15,Mouse_2_Ear_distance,Mouse2_smallest_euclid_distances_median_2,Mouse2_smallest_euclid_distances_median_5,Mouse2_smallest_euclid_distances_median_6,Mouse2_smallest_euclid_distances_median_7.5,Mouse2_smallest_euclid_distances_median_15,,Sum_euclid_distances_hull_mean_2_percentile_rank,Sum_euclid_distances_hull_mean_5_percentile_rank,Sum_euclid_distances_hull_mean_6_percentile_rank,Sum_euclid_distances_hull_mean_7.5_percentile_rank,Sum_euclid_distances_hull_mean_15_percentile_rank,Movement_mouse_1_lateral_left,Tail_end_movement_M1_median_2,Tail_end_movement_M1_median_5,Tail_end_movement_M1_median_6,Tail_end_movement_M1_median_7.5,Tail_end_movement_M1_median_15,Movement_mouse_2_lateral_left,Tail_end_movement_M2_median_2,Tail_end_movement_M2_median_5,Tail_end_movement_M2_median_6,Tail_end_movement_M2_median_7.5,Tail_end_movement_M2_median_15,,Total_movement_centroids_median_2,Total_movement_centroids_median_5,Total_movement_centroids_median_6,Total_movement_centroids_median_7.5,Total_movement_centroids_median_15,M1_Nose_to_M2_tail_base,,,,,
M1_smallest_euclidean_distance_hull,Mouse1_smallest_euclid_distances_mean_2,Mouse1_smallest_euclid_distances_mean_5,Mouse1_smallest_euclid_distances_mean_6,Mouse1_smallest_euclid_distances_mean_7.5,Mouse1_smallest_euclid_distances_mean_15,Mouse_2_width,Mouse2_smallest_euclid_distances_mean_2,Mouse2_smallest_euclid_distances_mean_5,Mouse2_smallest_euclid_distances_mean_6,Mouse2_smallest_euclid_distances_mean_7.5,Mouse2_smallest_euclid_distances_mean_15,,,,,,,Movement_mouse_1_lateral_right,Tail_end_movement_M1_mean_2,Tail_end_movement_M1_mean_5,Tail_end_movement_M1_mean_6,Tail_end_movement_M1_mean_7.5,Tail_end_movement_M1_mean_15,Movement_mouse_2_lateral_right,Tail_end_movement_M2_mean_2,Tail_end_movement_M2_mean_5,Tail_end_movement_M2_mean_6,Tail_end_movement_M2_mean_7.5,Tail_end_movement_M2_mean_15,,Total_movement_centroids_mean_2,Total_movement_centroids_mean_5,Total_movement_centroids_mean_6,Total_movement_centroids_mean_7.5,Total_movement_centroids_mean_15,M2_Nose_to_M1_tail_base,,,,,
M1_mean_euclidean_distance_hull,Mouse1_smallest_euclid_distances_sum_2,Mouse1_smallest_euclid_distances_sum_5,Mouse1_smallest_euclid_distances_sum_6,Mouse1_smallest_euclid_distances_sum_7.5,Mouse1_smallest_euclid_distances_sum_15,Mouse_2_nose_to_tail,Mouse2_smallest_euclid_distances_sum_2,Mouse2_smallest_euclid_distances_sum_5,Mouse2_smallest_euclid_distances_sum_6,Mouse2_smallest_euclid_distances_sum_7.5,Mouse2_smallest_euclid_distances_sum_15,,,,,,,Movement_mouse_1_deviation_centroid,Tail_end_movement_M1_sum_2,Tail_end_movement_M1_sum_5,Tail_end_movement_M1_sum_6,Tail_end_movement_M1_sum_7.5,Tail_end_movement_M1_sum_15,Movement_mouse_2_deviation_centroid,Tail_end_movement_M2_sum_2,Tail_end_movement_M2_sum_5,Tail_end_movement_M2_sum_6,Tail_end_movement_M2_sum_7.5,Tail_end_movement_M2_sum_15,,Total_movement_centroids_sum_2,Total_movement_centroids_sum_5,Total_movement_centroids_sum_6,Total_movement_centroids_sum_7.5,Total_movement_centroids_sum_15,Centroid_distance_deviation,,,,,
M1_sum_euclidean_distance_hull,Mouse1_largest_euclid_distances_median_2,Mouse1_largest_euclid_distances_median_5,Mouse1_largest_euclid_distances_median_6,Mouse1_largest_euclid_distances_median_7.5,Mouse1_largest_euclid_distances_median_15,Mouse_2_poly_area,Mouse2_largest_euclid_distances_median_2,Mouse2_largest_euclid_distances_median_5,Mouse2_largest_euclid_distances_median_6,Mouse2_largest_euclid_distances_median_7.5,Mouse2_largest_euclid_distances_median_15,,,,,,,Movement_mouse_1_percentile_rank,Nose_movement_M1_median_2,Nose_movement_M1_median_5,Nose_movement_M1_median_6,Nose_movement_M1_median_7.5,Nose_movement_M1_median_15,Movement_mouse_2_percentile_rank,Nose_movement_M2_median_2,Nose_movement_M2_median_5,Nose_movement_M2_median_6,Nose_movement_M2_median_7.5,Nose_movement_M2_median_15,,Total_movement_all_bodyparts_both_mice_mean_2_deviation,Total_movement_all_bodyparts_both_mice_mean_5_deviation,Total_movement_all_bodyparts_both_mice_mean_6_deviation,Total_movement_all_bodyparts_both_mice_mean_7.5_deviation,Total_movement_all_bodyparts_both_mice_mean_15_deviation,Distance_percentile_rank,,,,,
Mouse_1_angle,Mouse1_largest_euclid_distances_mean_2,Mouse1_largest_euclid_distances_mean_5,Mouse1_largest_euclid_distances_mean_6,Mouse1_largest_euclid_distances_mean_7.5,Mouse1_largest_euclid_distances_mean_15,Mouse_2_angle,Mouse2_largest_euclid_distances_mean_2,Mouse2_largest_euclid_distances_mean_5,Mouse2_largest_euclid_distances_mean_6,Mouse2_largest_euclid_distances_mean_7.5,Mouse2_largest_euclid_distances_mean_15,,,,,,,Movement_mouse_1_deviation_percentile_rank,Nose_movement_M1_mean_2,Nose_movement_M1_mean_5,Nose_movement_M1_mean_6,Nose_movement_M1_mean_7.5,Nose_movement_M1_mean_15,Movement_mouse_2_deviation_percentile_rank,Nose_movement_M2_mean_2,Nose_movement_M2_mean_5,Nose_movement_M2_mean_6,Nose_movement_M2_mean_7.5,Nose_movement_M2_mean_15,,Movement_mean_2_deviation,Movement_mean_5_deviation,Movement_mean_6_deviation,Movement_mean_7.5_deviation,Movement_mean_15_deviation,Centroid_distance_percentile_rank,,,,,
M1_smallest_euclid_distances_hull_deviation,Mouse1_largest_euclid_distances_sum_2,Mouse1_largest_euclid_distances_sum_5,Mouse1_largest_euclid_distances_sum_6,Mouse1_largest_euclid_distances_sum_7.5,Mouse1_largest_euclid_distances_sum_15,Mouse_2_polygon_deviation,Mouse2_largest_euclid_distances_sum_2,Mouse2_largest_euclid_distances_sum_5,Mouse2_largest_euclid_distances_sum_6,Mouse2_largest_euclid_distances_sum_7.5,Mouse2_largest_euclid_distances_sum_15,,,,,,,Total_movement_all_bodyparts_M1,Nose_movement_M1_sum_2,Nose_movement_M1_sum_5,Nose_movement_M1_sum_6,Nose_movement_M1_sum_7.5,Nose_movement_M1_sum_15,Total_movement_all_bodyparts_M2,Nose_movement_M2_sum_2,Nose_movement_M2_sum_5,Nose_movement_M2_sum_6,Nose_movement_M2_sum_7.5,Nose_movement_M2_sum_15,,Total_movement_all_bodyparts_both_mice_mean_2_percentile_rank,Total_movement_all_bodyparts_both_mice_mean_5_percentile_rank,Total_movement_all_bodyparts_both_mice_mean_6_percentile_rank,Total_movement_all_bodyparts_both_mice_mean_7.5_percentile_rank,Total_movement_all_bodyparts_both_mice_mean_15_percentile_rank,Centroid_distance_deviation_percentile_rank,,,,,
M1_largest_euclid_distances_hull_deviation,Mouse1_smallest_euclid_distances_mean_2_deviation,Mouse1_smallest_euclid_distances_mean_5_deviation,Mouse1_smallest_euclid_distances_mean_6_deviation,Mouse1_smallest_euclid_distances_mean_7.5_deviation,Mouse1_smallest_euclid_distances_mean_15_deviation,,,,,,,,,,,,,,Tail_end_relative_to_tail_base_centroid_nose_M1_2,Tail_end_relative_to_tail_base_centroid_nose_M1_5,Tail_end_relative_to_tail_base_centroid_nose_M1_6,Tail_end_relative_to_tail_base_centroid_nose_M1_7.5,Tail_end_relative_to_tail_base_centroid_nose_M1_15,,Tail_end_relative_to_tail_base_centroid_nose_M2_mean_2,Tail_end_relative_to_tail_base_centroid_nose_M2_mean_5,Tail_end_relative_to_tail_base_centroid_nose_M2_mean_6,Tail_end_relative_to_tail_base_centroid_nose_M2_mean_7.5,Tail_end_relative_to_tail_base_centroid_nose_M2_mean_15,,Movement_mean_2_percentile_rank,Movement_mean_5_percentile_rank,Movement_mean_6_percentile_rank,Movement_mean_7.5_percentile_rank,Movement_mean_15_percentile_rank,,,,,,
M1_mean_euclid_distances_hull_deviation,Mouse1_largest_euclid_distances_mean_2_deviation,Mouse1_largest_euclid_distances_mean_5_deviation,Mouse1_largest_euclid_distances_mean_6_deviation,Mouse1_largest_euclid_distances_mean_7.5_deviation,Mouse1_largest_euclid_distances_mean_15_deviation,,,,,,,,,,,,,,Tortuosity_Mouse1_2,Tortuosity_Mouse1_5,Tortuosity_Mouse1_6,Tortuosity_Mouse1_7.5,Tortuosity_Mouse1_15,,,,,,,,,,,,,,,,,,
Mouse_1_polygon_deviation,Mouse1_mean_euclid_distances_mean_2_deviation,Mouse1_mean_euclid_distances_mean_5_deviation,Mouse1_mean_euclid_distances_mean_6_deviation,Mouse1_mean_euclid_distances_mean_7.5_deviation,Mouse1_mean_euclid_distances_mean_15_deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mouse1_mean_euclid_distances_mean_2_percentile_rank,Mouse1_mean_euclid_distances_mean_5_percentile_rank,Mouse1_mean_euclid_distances_mean_6_percentile_rank,Mouse1_mean_euclid_distances_mean_7.5_percentile_rank,Mouse1_mean_euclid_distances_mean_15_percentile_rank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mouse1_smallest_euclid_distances_mean_2_percentile_rank,Mouse1_smallest_euclid_distances_mean_5_percentile_rank,Mouse1_smallest_euclid_distances_mean_6_percentile_rank,Mouse1_smallest_euclid_distances_mean_7.5_percentile_rank,Mouse1_smallest_euclid_distances_mean_15_percentile_rank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mouse1_largest_euclid_distances_mean_2_percentile_rank,Mouse1_largest_euclid_distances_mean_5_percentile_rank,Mouse1_largest_euclid_distances_mean_6_percentile_rank,Mouse1_largest_euclid_distances_mean_7.5_percentile_rank,Mouse1_largest_euclid_distances_mean_15_percentile_rank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
